"Date & time", "Julian day (day)", "Solar hour (h)", "Amb. Temp. (ºC)", "DNI (kW/m²)", "Omega (º)", "Delta (º)", "D1", "D2", "Angle of incidence (º)", "Angle of incidence modifier", "Thermal losses (kW)", "PTC thermal power (kW)", "Row thermal power (MW)", "Row raw energy (MWh)", "Row useful energy (MWh)", "Sum row useful energy (MWh)", "Row net power (MW)", "Solar field net power (MW)", "Thermal storage (MWh)", "Turbine electric power (MW)"
"2021-01-01 00:00:00", "1", "0", "7.440 ", "0", "180", "-22.913 ", "0", "0", "0", "1", "53.348 ", "-53.348 ", "-0.213 ", "-0.018 ", "0", "-0.325 ", "-2.561 ", "-32.009 ", "0", "0"
"2021-01-01 01:00:00", "1", "1", "7.210 ", "0", "165", "-22.913 ", "0", "0", "13.792 ", "0.987 ", "53.423 ", "-53.423 ", "-0.214 ", "-0.214 ", "0", "-0.325 ", "-0.214 ", "-32.054 ", "0", "0"
"2021-01-01 02:00:00", "1", "2", "6.980 ", "0", "150", "-22.913 ", "0", "0", "27.422 ", "0.960 ", "53.498 ", "-53.498 ", "-0.214 ", "-0.214 ", "0", "-0.325 ", "-0.214 ", "-32.099 ", "0", "0"
"2021-01-01 03:00:00", "1", "3", "6.750 ", "0", "135", "-22.913 ", "0", "0", "40.641 ", "0.910 ", "53.573 ", "-53.573 ", "-0.214 ", "-0.214 ", "0", "-0.325 ", "-0.214 ", "-32.144 ", "0", "0"
"2021-01-01 04:00:00", "1", "4", "6.510 ", "0", "120", "-22.913 ", "0", "0", "52.910 ", "0.821 ", "53.652 ", "-53.652 ", "-0.215 ", "-0.215 ", "0", "-0.325 ", "-0.215 ", "-32.191 ", "0", "0"
"2021-01-01 05:00:00", "1", "5", "6.280 ", "0", "105", "-22.913 ", "0", "0", "62.837 ", "0.680 ", "53.728 ", "-53.728 ", "-0.215 ", "-0.215 ", "0", "-0.325 ", "-0.215 ", "-32.237 ", "0", "0"
"2021-01-01 06:00:00", "1", "6", "6.050 ", "0", "90", "-22.913 ", "0", "0", "67.087 ", "0.579 ", "53.803 ", "-53.803 ", "-0.215 ", "-0.215 ", "0", "-0.325 ", "-0.215 ", "-32.282 ", "0", "0"
"2021-01-01 07:00:00", "1", "7", "5.810 ", "0", "75", "-22.913 ", "0", "0", "62.837 ", "0.680 ", "53.882 ", "-53.882 ", "-0.216 ", "-0.216 ", "0", "-0.325 ", "-0.216 ", "-32.329 ", "0", "0"
"2021-01-01 08:00:00", "1", "8", "9.190 ", "0.487 ", "60", "-22.913 ", "0", "0", "52.910 ", "0.821 ", "52.780 ", "92.371 ", "0.369 ", "0.369 ", "0.351 ", "0.044 ", "0.369 ", "55.423 ", "0", "17.602 "
"2021-01-01 09:00:00", "1", "9", "10.940 ", "0.737 ", "45", "-22.913 ", "0", "0", "40.641 ", "0.910 ", "52.218 ", "254 ", "1.017 ", "1.017 ", "0.966 ", "1.061 ", "1.017 ", "153 ", "12.557 ", "50.000 "
"2021-01-01 10:00:00", "1", "10", "12.690 ", "0.832 ", "30", "-22.913 ", "0", "0", "27.422 ", "0.960 ", "51.663 ", "375 ", "1.501 ", "1.501 ", "1.426 ", "2.562 ", "1.501 ", "225 ", "97.745 ", "50.000 "
"2021-01-01 11:00:00", "1", "11", "14.440 ", "0.894 ", "15", "-22.913 ", "0", "0", "13.792 ", "0.987 ", "51.113 ", "465 ", "1.860 ", "1.860 ", "1.767 ", "4.422 ", "1.860 ", "279 ", "237 ", "50.000 "
"2021-01-01 12:00:00", "1", "12", "14.750 ", "0.909 ", "0", "-22.913 ", "0", "0", "0", "1", "51.016 ", "497 ", "1.986 ", "1.986 ", "1.887 ", "6.408 ", "1.986 ", "298 ", "395 ", "50.000 "
